Name	1: Id:1 Vel_NC (kp:50 Tn:5)
Record-Number	1
Axis-ID	1
Min Frequency [Hz]	1
Max Frequency [Hz]	247.5
Frequency Steps	100
Mode	Velocity NC (without oversampling)
Position Monitoring Window [mm]	50
Velocity Amplitude Scaling Mode	1/ 10 at 1000Hz
Velocity Base Amplitude [mm/s]	10
Velocity Signal Amplitude [mm/s]	20
Integral Time [s]	5
Proportional Gain	50
Check Drive Limitations	True
Dead Time [s]	0.008
Cycle Time [ms]	2
Oversampling	x1
Frequency	Process-Gain	Process-Phase	Open-Loop-Gain	Open-Loop-Phase	Close-Loop-Gain	Close-Loop-Phase
161.1328125	-54.478348726089635	-267.64224135069367	-21.342466435040009	-261.73749820916072	-21.266743291692446	-266.64414637225849
166.015625	-55.313056595603072	-276.35990583370028	-21.916322747556357	-269.17865246262187	-21.934235064141617	-273.76884520587123
171.875	-56.249619708055	-286.60593516269461	-22.478090606220945	-278.66958022536664	-22.599357209332091	-282.87252360209891
176.7578125	-57.09816210699762	-293.953114257426	-23.022066610110279	-286.22201336695048	-23.210903494716511	-290.02611525675354
182.6171875	-58.194435749985352	-302.77828482304142	-23.797709739570529	-296.15318550587335	-24.055286142671868	-299.3792999952455
187.5	-59.03557904464445	-310.50104058546486	-24.436150978900134	-305.27034184949343	-24.741741276623603	-307.98128298457345
193.359375	-60.0079844063067	-318.70737187876693	-25.288684158047939	-315.36503443656125	-25.624428636909578	-317.47220403347944
200.1953125	-61.18177912678803	-328.91720282783751	-26.470277905823227	-327.77653641633606	-26.814891210147081	-329.17075097082181
206.0546875	-62.091522606214241	-338.95473693481392	-27.48143236302862	-339.3858484255752	-27.819263828656698	-340.20583508255015
211.9140625	-63.024710415052638	-348.75974228267734	-28.575331398238365	-350.17795734635138	-28.888666024343625	-350.52922813066721
218.75	-64.010725905759188	-361.33831272366297	-29.762935876593492	-363.24597726244241	-30.040293275152692	-363.14386010930974
225.5859375	-64.915108552097067	-377.8045701582501	-30.85315802624342	-379.61193023023679	-31.084960393178577	-379.07518936060296
232.421875	-65.904421933496863	-396.83857908906549	-31.962758379960139	-398.05100047683447	-32.134622799511561	-397.17753723020871
240.234375	-66.843846271635982	-420.27027327544147	-32.931983679352186	-420.70568485652029	-33.028995984954463	-419.59068346830679
247.0703125	-67.718824971007052	-441.98424986593415	-33.76333501295634	-442.02107170408505	-33.789800930807559	-440.86112657562609

Name	2: Id:1 Vel_NC (kp:100 Tn:5)
Record-Number	2
Axis-ID	1
Min Frequency [Hz]	1
Max Frequency [Hz]	247.5
Frequency Steps	100
Mode	Velocity NC (without oversampling)
Position Monitoring Window [mm]	50
Velocity Amplitude Scaling Mode	1/ 10 at 1000Hz
Velocity Base Amplitude [mm/s]	10
Velocity Signal Amplitude [mm/s]	20
Integral Time [s]	5
Proportional Gain	100
Check Drive Limitations	True
Dead Time [s]	0.008
Cycle Time [ms]	2
Oversampling	x1
Frequency	Process-Gain	Process-Phase	Open-Loop-Gain	Open-Loop-Phase	Close-Loop-Gain	Close-Loop-Phase
0.9765625	-22.387329101776352	-72.836298771644948	21.623784550753143	-66.842548060994474	-0.30243960644710666	-4.2239857497041378
1.953125	-30.736987574925372	-91.877398018029709	12.158643961177223	-95.042886173336242	-0.075224977553373873	-14.097288578408303
2.9296875	-34.183899196343496	-90.084543627165587	8.7443318204011948	-92.687663998480573	-0.41099201895590209	-20.3736841084424
3.90625	-36.919062142737339	-87.7193254659027	5.9207595015563026	-89.662734707523214	-1.0097959667012044	-26.760455348216656
